Frequency (Hz)	Level (dB)
5318.701172	-27.660789
5340.234375	-23.612345
5361.767578	-20.375561
5383.300781	-19.834494
5404.833984	-20.484421
5426.367188	-21.420996
5447.900391	-23.139210
5469.433594	-24.442715
5490.966797	-25.600416
5512.500000	-26.925610
5534.033203	-27.295912
5555.566406	-27.776722
5577.099609	-28.045107
5598.632813	-28.602217
5620.166016	-28.764940
5641.699219	-27.926224
5663.232422	-27.008745
5684.765625	-24.167761
5706.298828	-20.597157
5727.832031	-18.509310
5749.365234	-18.720001
5770.898438	-20.774883
5792.431641	-22.902098
5813.964844	-24.396439
5835.498047	-26.150888
5857.031250	-28.140810
5878.564453	-29.315653
5900.097656	-30.123934
5921.630859	-30.372847
5943.164063	-30.689243
5964.697266	-30.792522
5986.230469	-30.701084
6007.763672	-30.599016
6029.296875	-29.089231
6050.830078	-26.480436
6072.363281	-23.973417
6093.896484	-23.185251
6115.429688	-25.001541
6136.962891	-26.831350
6158.496094	-27.175152
6180.029297	-28.451572
6201.562500	-30.143166
6223.095703	-30.595562
6244.628906	-31.152832
6266.162109	-30.386467
6287.695313	-29.502630
6309.228516	-29.616690
6330.761719	-29.857046
6352.294922	-30.010794
6373.828125	-30.089191
6395.361328	-28.823492
6416.894531	-26.837032
6438.427734	-25.531160
6459.960938	-25.344103
6481.494141	-26.299288
6503.027344	-26.957344
6524.560547	-27.539526
6546.093750	-28.113689
6567.626953	-28.903751
6589.160156	-29.451113
6610.693359	-29.647055
6632.226563	-29.852592
6653.759766	-30.051701
6675.292969	-30.283815
6696.826172	-30.580425
6718.359375	-30.707569
6739.892578	-30.845745
6761.425781	-28.584919
6782.958984	-26.333508
6804.492188	-25.851963
6826.025391	-27.599489
6847.558594	-28.659170
6869.091797	-28.522058
6890.625000	-28.670448
6912.158203	-29.674923
6933.691406	-30.060295
6955.224609	-30.467112
6976.757813	-30.058065
6998.291016	-30.149952
7019.824219	-30.392984
7041.357422	-30.385973
7062.890625	-30.218735
